continent,country,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,people_fully_vaccinated,population
North America,Canada,2020-01-26,1.0,1.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-01-27,1.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-01-28,2.0,1.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-01-29,2.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-01-30,2.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-01-31,4.0,2.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-01,4.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-02,4.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-03,4.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-04,4.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-05,5.0,1.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-06,5.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-07,7.0,2.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-08,7.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-09,7.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-10,7.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-11,7.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-12,7.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-13,7.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-14,7.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-15,7.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-16,7.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-17,8.0,1.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-18,8.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-19,8.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-20,8.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-21,9.0,1.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-22,9.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-23,9.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-24,10.0,1.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-25,12.0,2.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-26,12.0,0.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-27,14.0,2.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-28,15.0,1.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-02-29,21.0,6.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-01,26.0,5.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-02,32.0,6.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-03,37.0,5.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-04,42.0,5.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-05,46.0,4.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-06,60.0,14.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-07,64.0,4.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-08,74.0,10.0,0.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-09,88.0,14.0,1.0,1.0,0.0,0.0,38067913.0
North America,Canada,2020-03-10,92.0,4.0,1.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-11,127.0,35.0,1.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-12,141.0,14.0,1.0,0.0,0.0,0.0,38067913.0
North America,Canada,2020-03-13,213.0,72.0,1.0,0.0,1.0,0.0,38067913.0
North America,Canada,2020-03-14,236.0,23.0,1.0,0.0,2.0,0.0,38067913.0
North America,Canada,2020-03-15,296.0,60.0,1.0,0.0,2.0,0.0,38067913.0
North America,Canada,2020-03-16,450.0,154.0,4.0,3.0,2.0,0.0,38067913.0
North America,Canada,2020-03-17,532.0,82.0,6.0,2.0,6.0,0.0,38067913.0
North America,Canada,2020-03-18,732.0,200.0,11.0,5.0,14.0,0.0,38067913.0
North America,Canada,2020-03-19,921.0,189.0,11.0,0.0,16.0,0.0,38067913.0
North America,Canada,2020-03-20,1175.0,254.0,15.0,4.0,24.0,0.0,38067913.0
North America,Canada,2020-03-21,1653.0,478.0,19.0,4.0,31.0,0.0,38067913.0
North America,Canada,2020-03-22,2045.0,392.0,22.0,3.0,35.0,0.0,38067913.0
North America,Canada,2020-03-23,2600.0,555.0,29.0,7.0,44.0,0.0,38067913.0
North America,Canada,2020-03-24,3185.0,585.0,33.0,4.0,64.0,0.0,38067913.0
North America,Canada,2020-03-25,3683.0,498.0,42.0,9.0,72.0,0.0,38067913.0
North America,Canada,2020-03-26,4550.0,867.0,57.0,15.0,82.0,0.0,38067913.0
North America,Canada,2020-03-27,5249.0,699.0,66.0,9.0,89.0,0.0,38067913.0
North America,Canada,2020-03-28,6085.0,836.0,82.0,16.0,125.0,0.0,38067913.0
North America,Canada,2020-03-29,7015.0,930.0,96.0,14.0,142.0,0.0,38067913.0
North America,Canada,2020-03-30,8121.0,1106.0,125.0,29.0,157.0,0.0,38067913.0
North America,Canada,2020-03-31,9246.0,1125.0,152.0,27.0,165.0,0.0,38067913.0
North America,Canada,2020-04-01,10527.0,1281.0,175.0,23.0,174.0,0.0,38067913.0
North America,Canada,2020-04-02,12219.0,1692.0,224.0,49.0,362.0,0.0,38067913.0
North America,Canada,2020-04-03,13559.0,1340.0,277.0,53.0,397.0,0.0,38067913.0
North America,Canada,2020-04-04,14906.0,1347.0,360.0,83.0,424.0,0.0,38067913.0
North America,Canada,2020-04-05,16475.0,1569.0,435.0,75.0,455.0,0.0,38067913.0
North America,Canada,2020-04-06,17521.0,1046.0,520.0,85.0,486.0,0.0,38067913.0
North America,Canada,2020-04-07,18858.0,1337.0,580.0,60.0,505.0,0.0,38067913.0
North America,Canada,2020-04-08,20154.0,1296.0,648.0,68.0,523.0,0.0,38067913.0
North America,Canada,2020-04-09,21533.0,1379.0,772.0,124.0,561.0,0.0,38067913.0
North America,Canada,2020-04-10,22777.0,1244.0,867.0,95.0,542.0,0.0,38067913.0
North America,Canada,2020-04-11,24084.0,1307.0,986.0,119.0,561.0,0.0,38067913.0
North America,Canada,2020-04-12,25303.0,1219.0,1095.0,109.0,570.0,0.0,38067913.0
North America,Canada,2020-04-13,26937.0,1634.0,1225.0,130.0,576.0,0.0,38067913.0
North America,Canada,2020-04-14,28563.0,1626.0,1361.0,136.0,571.0,0.0,38067913.0
North America,Canada,2020-04-15,30223.0,1660.0,1515.0,154.0,560.0,0.0,38067913.0
North America,Canada,2020-04-16,32790.0,2567.0,1718.0,203.0,540.0,0.0,38067913.0
North America,Canada,2020-04-17,34876.0,2086.0,1844.0,126.0,534.0,0.0,38067913.0
North America,Canada,2020-04-18,36358.0,1482.0,1987.0,143.0,592.0,0.0,38067913.0
North America,Canada,2020-04-19,38026.0,1668.0,2145.0,158.0,516.0,0.0,38067913.0
North America,Canada,2020-04-20,39591.0,1565.0,2291.0,146.0,527.0,0.0,38067913.0
North America,Canada,2020-04-21,41334.0,1743.0,2484.0,193.0,531.0,0.0,38067913.0
North America,Canada,2020-04-22,43641.0,2307.0,2679.0,195.0,518.0,0.0,38067913.0
North America,Canada,2020-04-23,45310.0,1669.0,2850.0,171.0,513.0,0.0,38067913.0
North America,Canada,2020-04-24,47007.0,1697.0,3030.0,180.0,540.0,0.0,38067913.0
North America,Canada,2020-04-25,48570.0,1563.0,3217.0,187.0,533.0,0.0,38067913.0
North America,Canada,2020-04-26,50002.0,1432.0,3374.0,157.0,536.0,0.0,38067913.0
North America,Canada,2020-04-27,51621.0,1619.0,3559.0,185.0,516.0,0.0,38067913.0
North America,Canada,2020-04-28,53297.0,1676.0,3756.0,197.0,521.0,0.0,38067913.0
North America,Canada,2020-04-29,55061.0,1764.0,4000.0,244.0,522.0,0.0,38067913.0
North America,Canada,2020-04-30,56716.0,1655.0,4179.0,179.0,506.0,0.0,38067913.0
North America,Canada,2020-05-01,58549.0,1833.0,4381.0,202.0,514.0,0.0,38067913.0
North America,Canada,2020-05-02,60023.0,1474.0,4529.0,148.0,510.0,0.0,38067913.0
North America,Canada,2020-05-03,61183.0,1160.0,4669.0,140.0,514.0,0.0,38067913.0
North America,Canada,2020-05-04,62743.0,1560.0,4911.0,242.0,510.0,0.0,38067913.0
North America,Canada,2020-05-05,64100.0,1357.0,5081.0,170.0,511.0,0.0,38067913.0
North America,Canada,2020-05-06,65703.0,1603.0,5240.0,159.0,501.0,0.0,38067913.0
North America,Canada,2020-05-07,67146.0,1443.0,5387.0,147.0,506.0,0.0,38067913.0
North America,Canada,2020-05-08,68485.0,1339.0,5540.0,153.0,484.0,0.0,38067913.0
North America,Canada,2020-05-09,69645.0,1160.0,5704.0,164.0,470.0,0.0,38067913.0
North America,Canada,2020-05-10,70736.0,1091.0,5822.0,118.0,457.0,0.0,38067913.0
North America,Canada,2020-05-11,71886.0,1150.0,5956.0,134.0,449.0,0.0,38067913.0
North America,Canada,2020-05-12,73083.0,1197.0,6107.0,151.0,435.0,0.0,38067913.0
North America,Canada,2020-05-13,74307.0,1224.0,6210.0,103.0,436.0,0.0,38067913.0
North America,Canada,2020-05-14,75428.0,1121.0,6331.0,121.0,422.0,0.0,38067913.0
North America,Canada,2020-05-15,76691.0,1263.0,6452.0,121.0,417.0,0.0,38067913.0
North America,Canada,2020-05-16,77871.0,1180.0,6571.0,119.0,404.0,0.0,38067913.0
North America,Canada,2020-05-17,78992.0,1121.0,6661.0,90.0,399.0,0.0,38067913.0
North America,Canada,2020-05-18,80033.0,1041.0,6753.0,92.0,398.0,0.0,38067913.0
North America,Canada,2020-05-19,81183.0,1150.0,6828.0,75.0,402.0,0.0,38067913.0
North America,Canada,2020-05-20,82488.0,1305.0,6950.0,122.0,394.0,0.0,38067913.0
North America,Canada,2020-05-21,83650.0,1162.0,7046.0,96.0,380.0,0.0,38067913.0
North America,Canada,2020-05-22,84814.0,1164.0,7144.0,98.0,369.0,0.0,38067913.0
North America,Canada,2020-05-23,85823.0,1009.0,7238.0,94.0,364.0,0.0,38067913.0
North America,Canada,2020-05-24,86749.0,926.0,7326.0,88.0,368.0,0.0,38067913.0
North America,Canada,2020-05-25,87697.0,948.0,7420.0,94.0,375.0,0.0,38067913.0
North America,Canada,2020-05-26,88502.0,805.0,7512.0,92.0,371.0,0.0,38067913.0
North America,Canada,2020-05-27,89380.0,878.0,7606.0,94.0,376.0,0.0,38067913.0
North America,Canada,2020-05-28,90219.0,839.0,7717.0,111.0,358.0,0.0,38067913.0
North America,Canada,2020-05-29,91054.0,835.0,7797.0,80.0,349.0,0.0,38067913.0
North America,Canada,2020-05-30,91805.0,751.0,7857.0,60.0,336.0,0.0,38067913.0
North America,Canada,2020-05-31,92488.0,683.0,7906.0,49.0,342.0,0.0,38067913.0
North America,Canada,2020-06-01,93330.0,842.0,7952.0,46.0,340.0,0.0,38067913.0
North America,Canada,2020-06-02,93991.0,661.0,8008.0,56.0,340.0,0.0,38067913.0
North America,Canada,2020-06-03,94658.0,667.0,8062.0,54.0,333.0,0.0,38067913.0
North America,Canada,2020-06-04,95283.0,625.0,8126.0,64.0,314.0,0.0,38067913.0
North America,Canada,2020-06-05,95949.0,666.0,8166.0,40.0,296.0,0.0,38067913.0
North America,Canada,2020-06-06,96497.0,548.0,8228.0,62.0,290.0,0.0,38067913.0
North America,Canada,2020-06-07,97164.0,667.0,8269.0,41.0,285.0,0.0,38067913.0
North America,Canada,2020-06-08,97685.0,521.0,8313.0,44.0,278.0,0.0,38067913.0
North America,Canada,2020-06-09,98174.0,489.0,8347.0,34.0,273.0,0.0,38067913.0
North America,Canada,2020-06-10,98669.0,495.0,8382.0,35.0,277.0,0.0,38067913.0
North America,Canada,2020-06-11,99118.0,449.0,8413.0,31.0,274.0,0.0,38067913.0
North America,Canada,2020-06-12,99548.0,430.0,8442.0,29.0,260.0,0.0,38067913.0
North America,Canada,2020-06-13,99959.0,411.0,8470.0,28.0,252.0,0.0,38067913.0
North America,Canada,2020-06-14,100286.0,327.0,8489.0,19.0,227.0,0.0,38067913.0
North America,Canada,2020-06-15,100655.0,369.0,8497.0,8.0,227.0,0.0,38067913.0
North America,Canada,2020-06-16,101021.0,366.0,8521.0,24.0,220.0,0.0,38067913.0
North America,Canada,2020-06-17,101429.0,408.0,8542.0,21.0,208.0,0.0,38067913.0
North America,Canada,2020-06-18,101830.0,401.0,8555.0,13.0,193.0,0.0,38067913.0
North America,Canada,2020-06-19,102233.0,403.0,8580.0,25.0,186.0,0.0,38067913.0
North America,Canada,2020-06-20,102652.0,419.0,8609.0,29.0,188.0,0.0,38067913.0
North America,Canada,2020-06-21,102957.0,305.0,8626.0,17.0,193.0,0.0,38067913.0
North America,Canada,2020-06-22,103313.0,356.0,8646.0,20.0,177.0,0.0,38067913.0
North America,Canada,2020-06-23,103707.0,394.0,8670.0,24.0,178.0,0.0,38067913.0
North America,Canada,2020-06-24,104063.0,356.0,8700.0,30.0,170.0,0.0,38067913.0
North America,Canada,2020-06-25,104387.0,324.0,8723.0,23.0,165.0,0.0,38067913.0
North America,Canada,2020-06-26,104638.0,251.0,8730.0,7.0,156.0,0.0,38067913.0
North America,Canada,2020-06-27,104975.0,337.0,8739.0,9.0,148.0,0.0,38067913.0
North America,Canada,2020-06-28,105348.0,373.0,8749.0,10.0,144.0,0.0,38067913.0
North America,Canada,2020-06-29,105732.0,384.0,8768.0,19.0,143.0,0.0,38067913.0
North America,Canada,2020-06-30,106029.0,297.0,8780.0,12.0,128.0,0.0,38067913.0
North America,Canada,2020-07-01,106226.0,197.0,8790.0,10.0,120.0,0.0,38067913.0
North America,Canada,2020-07-02,106583.0,357.0,8806.0,16.0,119.0,0.0,38067913.0
North America,Canada,2020-07-03,106903.0,320.0,8813.0,7.0,117.0,0.0,38067913.0
North America,Canada,2020-07-04,107116.0,213.0,8821.0,8.0,110.0,0.0,38067913.0
North America,Canada,2020-07-05,107303.0,187.0,8823.0,2.0,105.0,0.0,38067913.0
North America,Canada,2020-07-06,107718.0,415.0,8836.0,13.0,100.0,0.0,38067913.0
North America,Canada,2020-07-07,107973.0,255.0,8843.0,7.0,97.0,0.0,38067913.0
North America,Canada,2020-07-08,108302.0,329.0,8855.0,12.0,98.0,0.0,38067913.0
North America,Canada,2020-07-09,108617.0,315.0,8865.0,10.0,97.0,0.0,38067913.0
North America,Canada,2020-07-10,108957.0,340.0,8879.0,14.0,99.0,0.0,38067913.0
North America,Canada,2020-07-11,109133.0,176.0,8882.0,3.0,93.0,0.0,38067913.0
